,0,1,2
34,51@1437,"[[152, 1]]",4.0
35,41@4598,"[[596, 1], [137, 1]]",1.0
36,89@2637,"[[569, 1], [294, 1]]",5.0
37,126@2688,"[[77, 1], [1874, 1]]",5.0
38,22@2894,"[[1674, 1], [1714, 1], [1441, 1], [246, 1], [1213, 1], [1243, 1]]",4.0
39,143@1878,"[[152, 1], [1213, 1]]",5.0
40,59@1461,"[[130, 1], [496, 1], [1928, 1], [635, 1], [1155, 1], [643, 1], [604, 1], [1368, 1], [496, 1], [293, 1]]",2.5
41,89@225,"[[871, 1], [2073, 1]]",3.0
42,90@173,"[[777, 1], [1874, 1]]",4.0
43,37@2586,"[[1652, 1]]",4.0
44,132@2383,"[[1903, 1], [1567, 1], [969, 1]]",4.0
45,29@2482,"[[1870, 1]]",4.0
46,129@3498,"[[1507, 1]]",4.0
47,90@3900,"[[1584, 1], [1669, 1]]",5.0
48,64@1196,"[[37, 1]]",3.0
49,90@4867,"[[592, 1], [1418, 1], [1536, 1], [501, 1], [1963, 1], [1956, 1]]",5.0
50,101@3169,"[[689, 1], [694, 1], [1528, 1], [736, 1], [186, 1], [643, 1], [2036, 1], [731, 1], [1104, 1], [730, 1]]",4.0
51,20@3215,"[[565, 1], [1423, 1], [246, 1]]",5.0
52,78@4116,"[[597, 1], [941, 1], [817, 1]]",4.0
53,1@4046,"[[2001, 1]]",2.0
54,29@3689,"[[716, 1], [1023, 1], [731, 1], [277, 1]]",4.0
55,17@2947,"[[1273, 1]]",4.0
56,68@2844,"[[426, 1]]",5.0
57,126@5073,"[[137, 1]]",5.0
58,129@626,"[[289, 1]]",5.0
59,1@3707,"[[777, 1], [1273, 1]]",3.0
60,128@228,"[[186, 1], [605, 1]]",5.0
61,101@1020,"[[157, 1], [643, 1], [445, 1], [1537, 1], [1213, 1]]",3.0
62,102@614,"[[592, 1], [1873, 1], [186, 1], [1423, 1], [1213, 1], [476, 1], [428, 1]]",4.0
63,37@4888,"[[289, 1], [2003, 1], [1068, 1], [249, 1], [871, 1]]",5.0
64,7@3991,"[[15, 1]]",5.0
65,59@3645,"[[1372, 1], [268, 1], [77, 1], [755, 1], [565, 1], [992, 1]]",5.0
66,62@24,"[[268, 1], [186, 1], [642, 1], [596, 1], [645, 1]]",2.0
67,61@3305,"[[186, 1]]",2.0
68,138@4296,"[[1096, 1]]",3.0
69,99@2353,"[[941, 1], [1172, 1], [1213, 1]]",4.0
70,88@4275,"[[795, 1], [1482, 1]]",5.0
71,59@3890,"[[1093, 1], [526, 1], [102, 1], [1093, 1]]",3.0
72,1@4995,"[[15, 1], [569, 1], [62, 1], [1423, 1]]",5.0
73,125@2839,"[[1372, 1], [324, 1]]",4.0
74,22@4551,"[[268, 1], [319, 1], [1168, 1], [731, 1], [1023, 1], [385, 1]]",3.0
75,59@3374,"[[268, 1], [604, 1], [602, 1], [1423, 1], [1083, 1]]",5.0
76,26@1180,"[[1093, 1], [1458, 1], [1172, 1]]",3.0
77,20@3730,"[[1479, 1], [186, 1]]",4.0
78,120@3498,"[[552, 1], [61, 1]]",5.0
79,143@653,"[[491, 1], [1639, 1], [137, 1], [1213, 1], [1567, 1]]",5.0
80,17@225,"[[1787, 1], [1479, 1]]",3.0
81,22@1452,"[[142, 1]]",2.0
82,101@4880,"[[1730, 1]]",5.0
83,75@1969,"[[777, 1], [1023, 1], [1689, 1], [176, 1], [1104, 1], [821, 1], [1106, 1]]",4.0
84,6@4711,"[[61, 1]]",5.0
85,51@3698,"[[1189, 1], [643, 1], [1479, 1], [1213, 1], [1369, 1], [1563, 1]]",3.0
86,6@1964,"[[920, 1], [1674, 1], [83, 1], [1479, 1], [1213, 1]]",5.0
87,146@2929,"[[353, 1], [1210, 1], [1423, 1], [1873, 1], [1545, 1]]",4.0
88,102@802,"[[152, 1], [1397, 1], [1167, 1], [596, 1], [1521, 1], [385, 1], [1096, 1]]",5.0
89,146@2436,"[[792, 1], [218, 1]]",5.0
90,143@1344,"[[294, 1], [1213, 1]]",5.0
91,26@4847,"[[1155, 1], [1009, 1], [1867, 1], [976, 1]]",4.0
92,10@614,"[[202, 1], [757, 1], [1372, 1], [142, 1], [1692, 1], [1536, 1], [1172, 1], [1210, 1], [2073, 1], [202, 1], [1967, 1]]",4.0
93,75@3757,"[[1093, 1], [1813, 1], [294, 1], [526, 1], [1874, 1], [655, 1]]",4.0
94,7@4808,"[[69, 1], [1397, 1], [1567, 1], [69, 1], [380, 1]]",3.0
95,147@5241,"[[2073, 1]]",4.0
96,94@3914,"[[2003, 1], [1874, 1]]",5.0
97,37@1321,"[[1177, 1]]",2.0
98,129@3715,"[[2043, 1]]",3.0
99,102@2358,"[[584, 1], [694, 1], [1416, 1], [1548, 1], [184, 1], [1210, 1], [1104, 1], [1189, 1], [694, 1], [1104, 1]]",5.0
100,89@4224,"[[592, 1], [268, 1], [2036, 1]]",5.0
101,139@3785,"[[1796, 1], [1423, 1], [61, 1]]",3.0
102,6@4762,"[[21, 1], [1925, 1], [1874, 1], [88, 1]]",4.0
103,139@1132,"[[61, 1]]",4.0
104,147@1983,"[[1093, 1], [1530, 1], [955, 1], [622, 1]]",5.0
105,6@3363,"[[1874, 1], [596, 1], [479, 1]]",5.0
106,128@5190,"[[268, 1], [186, 1], [1052, 1], [1213, 1]]",4.0
107,104@2487,"[[2016, 1], [747, 1], [186, 1]]",5.0
108,88@5193,"[[1873, 1], [1200, 1]]",5.0
109,138@1428,"[[376, 1], [891, 1], [1481, 1], [731, 1], [406, 1], [376, 1], [1096, 1], [406, 1]]",4.5
110,59@3635,"[[877, 1], [777, 1], [738, 1], [1651, 1], [445, 1], [255, 1]]",1.0
111,147@2234,"[[835, 1], [1743, 1], [6, 1], [445, 1], [777, 1], [1213, 1]]",2.0
112,146@1501,"[[268, 1], [694, 1], [1639, 1], [245, 1]]",4.0
113,58@400,"[[428, 1], [1732, 1]]",3.0
114,54@1923,"[[152, 1], [1155, 1], [186, 1], [1213, 1], [731, 1]]",5.0
115,17@3359,"[[1372, 1], [1674, 1], [268, 1], [1213, 1], [1690, 1]]",4.0
116,102@506,"[[946, 1], [1023, 1]]",5.0
117,125@1044,"[[629, 1], [1044, 1]]",4.0
118,10@2837,"[[1714, 1], [1023, 1], [2073, 1], [1213, 1], [101, 1], [1840, 1], [777, 1], [280, 1], [1530, 1], [1213, 1]]",3.5
119,62@4558,"[[1479, 1], [1092, 1], [1986, 1]]",4.0
120,120@948,"[[1189, 1], [969, 1], [731, 1]]",4.0
121,139@3765,"[[28, 1]]",3.0
122,135@3705,"[[408, 1], [761, 1]]",3.0
123,62@4752,"[[152, 1], [293, 1], [186, 1], [1005, 1], [1423, 1], [761, 1]]",4.0
124,104@2519,"[[592, 1], [1874, 1]]",5.0
125,147@4065,"[[738, 1], [1263, 1], [834, 1]]",4.0
126,99@2723,"[[1096, 1], [1023, 1], [1567, 1], [1423, 1], [1797, 1], [1096, 1]]",3.0
127,54@2507,"[[1310, 1], [931, 1]]",3.0
128,64@3080,"[[47, 1], [694, 1], [508, 1], [186, 1], [2036, 1], [343, 1], [61, 1], [1914, 1], [1104, 1], [694, 1]]",5.0
129,95@2325,"[[237, 1]]",4.0
130,94@1475,"[[508, 1], [1213, 1]]",4.0
131,22@2699,"[[1874, 1]]",4.0
132,129@2561,"[[101, 1], [646, 1]]",4.0
133,104@526,"[[1697, 1], [50, 1], [565, 1], [180, 1], [1213, 1], [268, 1], [1397, 1], [1323, 1]]",5.0
134,147@921,"[[592, 1], [207, 1], [810, 1]]",4.0
135,146@113,"[[2016, 1]]",5.0
136,22@4802,"[[268, 1], [799, 1], [1867, 1]]",3.0
137,19@970,"[[1078, 1], [137, 1]]",4.0
138,147@1155,"[[2036, 1]]",3.0
139,61@3046,"[[992, 1]]",4.0
140,59@4474,"[[1023, 1], [941, 1]]",5.0
141,8@4162,"[[1162, 1]]",4.0
142,10@4548,"[[1093, 1], [1363, 1], [137, 1]]",4.0
143,51@3643,"[[163, 1], [1059, 1], [643, 1], [501, 1], [2024, 1]]",4.0
144,126@960,"[[1674, 1], [581, 1], [353, 1], [1213, 1], [1213, 1]]",2.0
145,105@340,"[[491, 1], [1278, 1], [88, 1], [1978, 1]]",4.0
146,29@280,"[[592, 1], [581, 1], [1956, 1]]",3.0
147,120@1540,"[[581, 1], [1308, 1]]",5.0
148,135@2258,"[[1546, 1], [1979, 1]]",4.0
149,138@3494,"[[1657, 1], [140, 1]]",5.0
150,10@369,"[[142, 1], [891, 1], [905, 1]]",4.0
151,143@1285,"[[835, 1], [565, 1], [923, 1]]",1.0
152,150@3401,"[[324, 1]]",3.0
153,146@5022,"[[268, 1], [353, 1], [61, 1]]",4.0
154,135@3917,"[[1213, 1]]",4.0
155,101@3234,"[[1931, 1], [137, 1]]",5.0
156,126@2392,"[[137, 1], [1874, 1], [1423, 1], [946, 1]]",5.0
157,22@427,"[[1172, 1], [596, 1]]",4.0
158,58@5141,"[[152, 1]]",4.0
159,146@3766,"[[491, 1], [1155, 1], [738, 1], [324, 1]]",4.0
160,20@3918,"[[102, 1]]",3.0
161,139@1589,"[[941, 1], [689, 1]]",4.0
162,101@4683,"[[738, 1], [361, 1], [361, 1], [897, 1]]",4.0
163,90@4138,"[[2016, 1], [2016, 1]]",2.0
164,22@4883,"[[1423, 1]]",4.0
165,132@1297,"[[1925, 1], [1514, 1], [1514, 1]]",4.0
166,125@1321,"[[268, 1], [835, 1], [479, 1]]",4.0
167,22@2800,"[[206, 1], [214, 1], [2071, 1], [230, 1], [1928, 1]]",5.0
168,10@4829,"[[1093, 1], [2045, 1], [1078, 1], [2071, 1], [249, 1], [1888, 1], [1732, 1]]",4.0
169,89@2776,"[[1682, 1], [59, 1], [1423, 1]]",4.0
170,150@1987,"[[1979, 1]]",5.0
171,88@2288,"[[351, 1]]",3.0
172,50@1517,"[[2072, 1], [160, 1], [731, 1], [2055, 1], [891, 1], [1096, 1], [2079, 1], [1023, 1], [1567, 1], [1075, 1], [596, 1], [1521, 1], [1096, 1], [1134, 1]]",3.5
173,38@3034,"[[268, 1], [863, 1], [795, 1], [1979, 1], [795, 1]]",5.0
174,61@846,"[[1273, 1]]",4.0
175,95@4698,"[[694, 1], [1104, 1], [731, 1], [694, 1]]",3.0
176,147@4859,"[[1333, 1], [1165, 1]]",5.0
177,85@5110,"[[268, 1], [1155, 1], [186, 1], [1213, 1]]",5.0
178,22@3451,"[[289, 1]]",3.0
179,79@5144,"[[268, 1], [88, 1]]",4.0
180,88@4755,"[[777, 1]]",3.0
181,79@3091,"[[1189, 1]]",4.0
182,54@2387,"[[137, 1], [731, 1], [186, 1]]",3.0
183,104@784,"[[736, 1]]",4.0
184,58@330,"[[591, 1]]",4.0
185,79@117,"[[268, 1], [167, 1], [445, 1], [186, 1], [1213, 1]]",5.0
186,51@4384,"[[1155, 1], [1054, 1]]",3.0
187,146@2501,"[[268, 1], [640, 1], [777, 1], [1874, 1]]",4.0
188,147@994,"[[1355, 1], [474, 1]]",4.0
189,106@520,"[[711, 1], [1836, 1], [596, 1]]",5.0
190,5@3664,"[[1998, 1], [1996, 1], [1044, 1], [2087, 1], [88, 1]]",1.0
191,61@94,"[[186, 1]]",5.0
192,106@3903,"[[592, 1], [806, 1], [1273, 1]]",5.0
193,102@4957,"[[777, 1]]",3.0
194,10@2792,"[[941, 1], [1093, 1], [362, 1], [2089, 1], [1530, 1], [1530, 1]]",4.0
195,149@1161,"[[102, 1], [921, 1], [621, 1], [1479, 1]]",3.0
196,59@4512,"[[337, 1], [605, 1]]",4.0
197,8@1251,"[[1138, 1], [428, 1]]",5.0
198,43@1358,"[[1072, 1]]",5.0
199,62@1136,"[[1925, 1], [1195, 1]]",3.0
200,149@1775,"[[941, 1], [1931, 1], [1023, 1], [941, 1], [1632, 1]]",4.0
201,10@4579,"[[761, 1], [2089, 1], [777, 1], [761, 1]]",3.5
202,149@5069,"[[1780, 1], [1369, 1]]",4.0
203,37@1382,"[[1971, 1], [1479, 1], [2003, 1]]",5.0
204,88@5246,"[[726, 1], [1940, 1], [2036, 1], [1731, 1], [992, 1]]",5.0
205,150@3209,"[[581, 1], [1956, 1]]",2.0
206,51@3815,"[[1514, 1]]",3.0
207,20@3790,"[[792, 1]]",3.0
208,63@1677,"[[1925, 1]]",4.0
209,146@1446,"[[879, 1]]",4.0
210,17@2146,"[[268, 1], [1874, 1]]",4.0
211,149@4127,"[[186, 1]]",4.0
212,38@2014,"[[1479, 1], [115, 1], [1946, 1], [1873, 1], [1536, 1]]",2.0
213,146@4744,"[[152, 1], [2024, 1], [1059, 1], [1397, 1], [565, 1], [501, 1], [1385, 1], [445, 1], [1213, 1], [345, 1]]",4.0
214,18@2718,"[[270, 1], [186, 1], [1567, 1], [270, 1], [1873, 1]]",3.0
215,147@2214,"[[984, 1]]",4.0
216,107@3826,"[[1971, 1]]",3.0
217,139@5123,"[[152, 1], [1155, 1], [1368, 1], [731, 1], [292, 1]]",4.0
218,79@470,"[[1874, 1]]",4.0
219,61@4176,"[[1479, 1]]",2.0
220,68@5103,"[[88, 1]]",5.0
221,143@4863,"[[142, 1], [137, 1], [2073, 1]]",4.0
222,102@2723,"[[1931, 1]]",5.0
223,8@1657,"[[491, 1]]",4.0
224,95@412,"[[694, 1], [186, 1], [730, 1], [618, 1], [694, 1]]",3.0
225,59@1393,"[[1418, 1]]",4.0
226,147@5083,"[[835, 1], [565, 1], [268, 1], [597, 1], [1744, 1], [1308, 1], [2068, 1]]",5.0
227,38@262,"[[1873, 1]]",4.0
228,10@1243,"[[307, 1]]",5.0
229,61@5059,"[[1023, 1]]",4.0
230,134@612,"[[586, 1]]",5.0
231,90@4727,"[[324, 1]]",2.0
232,109@675,"[[703, 1], [1273, 1]]",3.0
233,47@4931,"[[1978, 1], [293, 1], [565, 1], [2087, 1]]",4.0
234,50@4842,"[[596, 1]]",4.0
235,75@2514,"[[526, 1], [905, 1]]",4.0
236,43@3052,"[[195, 1], [1189, 1], [268, 1], [1543, 1], [835, 1], [539, 1], [479, 1], [6, 1], [1423, 1], [1213, 1], [1383, 1]]",4.0
237,88@1550,"[[1946, 1]]",4.0
238,79@131,"[[573, 1], [1243, 1], [163, 1]]",4.0
239,10@1600,"[[256, 1]]",4.0
240,127@131,"[[1155, 1], [643, 1], [259, 1]]",4.0
241,63@3689,"[[2071, 1], [1213, 1], [476, 1], [731, 1], [491, 1]]",4.0
242,104@1164,"[[1093, 1]]",3.0
243,131@1791,"[[152, 1]]",2.0
244,8@5118,"[[1657, 1], [563, 1]]",4.0
245,10@177,"[[1093, 1], [1650, 1], [428, 1], [1888, 1]]",4.0
246,99@3403,"[[1928, 1]]",2.0
247,99@1748,"[[1869, 1]]",4.0
248,10@1081,"[[1266, 1], [1126, 1], [1423, 1]]",4.0
249,80@4631,"[[860, 1], [1978, 1], [1441, 1], [1996, 1], [1874, 1], [496, 1], [88, 1], [88, 1]]",5.0
250,50@1876,"[[137, 1], [294, 1], [184, 1], [1475, 1], [119, 1]]",3.0
251,50@1979,"[[1372, 1], [1737, 1], [234, 1], [509, 1], [436, 1], [1928, 1], [70, 1], [1479, 1], [1251, 1], [1613, 1], [61, 1], [268, 1]]",3.5
252,62@3846,"[[157, 1], [268, 1]]",3.0
253,8@4392,"[[1363, 1], [1529, 1]]",5.0
254,102@2233,"[[581, 1]]",5.0
255,56@2352,"[[146, 1], [1315, 1]]",5.0
256,78@2844,"[[5, 1]]",3.0
257,38@5086,"[[1870, 1], [130, 1], [1350, 1], [1311, 1]]",4.0
258,101@3372,"[[406, 1], [1407, 1]]",3.0
259,82@3758,"[[1107, 1], [795, 1]]",5.0
260,10@478,"[[1189, 1], [1181, 1], [1093, 1], [1956, 1], [1931, 1]]",3.0
261,88@2448,"[[146, 1], [1479, 1], [2073, 1]]",4.0
262,104@2757,"[[166, 1], [200, 1], [1273, 1], [1423, 1]]",4.0
263,5@1523,"[[1674, 1], [581, 1], [123, 1], [835, 1], [607, 1], [545, 1], [1956, 1], [324, 1]]",3.0
264,33@4025,"[[186, 1]]",5.0
265,108@1790,"[[706, 1], [731, 1], [491, 1]]",4.0
266,78@763,"[[1213, 1]]",3.0
267,10@1926,"[[312, 1], [1189, 1], [891, 1]]",3.0
268,48@207,"[[1423, 1]]",4.0
269,40@1469,"[[15, 1], [1874, 1], [2046, 1]]",5.0
270,85@3948,"[[186, 1], [1023, 1], [62, 1], [1213, 1]]",4.0
271,50@4902,"[[1567, 1]]",3.0
272,56@5130,"[[1363, 1], [845, 1], [1548, 1], [596, 1], [428, 1]]",5.0
273,88@5042,"[[795, 1]]",5.0
274,109@189,"[[1155, 1]]",5.0
275,10@186,"[[2079, 1], [2022, 1]]",3.0
276,75@2487,"[[2016, 1], [1845, 1], [1913, 1]]",4.0
277,108@3800,"[[2045, 1], [1093, 1], [31, 1], [891, 1], [1418, 1], [1567, 1], [1093, 1], [1479, 1]]",4.0
278,47@3042,"[[618, 1], [1155, 1], [709, 1]]",3.0
279,22@4299,"[[941, 1], [2057, 1], [1213, 1], [1104, 1]]",2.0
280,19@3920,"[[1397, 1], [102, 1], [1213, 1], [736, 1]]",4.0
281,120@3040,"[[268, 1], [131, 1], [1719, 1]]",5.0
282,54@2419,"[[694, 1]]",3.0
283,108@3948,"[[1093, 1], [689, 1], [1873, 1], [142, 1], [1692, 1], [2036, 1], [1874, 1], [1210, 1], [180, 1], [2073, 1], [1213, 1], [655, 1], [1873, 1]]",4.0
284,100@2215,"[[69, 1], [581, 1], [694, 1], [1928, 1], [731, 1]]",4.0
285,43@1086,"[[152, 1], [865, 1], [835, 1], [1743, 1], [1155, 1], [1397, 1], [1714, 1], [676, 1]]",1.0
286,92@4042,"[[1674, 1], [1213, 1]]",4.0
287,94@2327,"[[1189, 1], [551, 1], [643, 1], [2084, 1], [1946, 1]]",4.0
288,131@5047,"[[2005, 1]]",5.0
289,128@3855,"[[77, 1], [460, 1], [565, 1]]",4.0
290,141@3112,"[[795, 1], [795, 1]]",4.0
291,78@52,"[[941, 1]]",5.0
292,79@4234,"[[268, 1], [186, 1], [246, 1]]",3.0
293,43@4776,"[[2037, 1], [643, 1], [1874, 1], [2033, 1]]",5.0
294,134@504,"[[736, 1], [777, 1], [926, 1], [1305, 1]]",1.0
295,139@3888,"[[491, 1], [1928, 1]]",5.0
296,60@4101,"[[1479, 1], [186, 1]]",4.0
297,38@447,"[[2016, 1], [2016, 1]]",1.0
298,134@1666,"[[1874, 1], [1874, 1]]",5.0
299,65@3130,"[[186, 1], [1567, 1], [246, 1]]",5.0
300,79@666,"[[1874, 1], [1423, 1]]",4.0
301,64@4977,"[[230, 1], [731, 1], [1873, 1]]",3.0
302,54@4606,"[[62, 1]]",3.0
303,147@565,"[[1372, 1], [268, 1], [1200, 1], [256, 1], [42, 1]]",4.0
304,10@3449,"[[1546, 1], [861, 1]]",2.0
305,25@2343,"[[70, 1], [526, 1], [1479, 1], [646, 1], [324, 1]]",5.0
306,92@3778,"[[941, 1], [1189, 1], [1963, 1], [1570, 1]]",3.0
307,135@4524,"[[581, 1], [936, 1], [901, 1], [516, 1]]",2.0
308,149@1820,"[[69, 1], [1423, 1]]",4.0
309,92@4348,"[[795, 1]]",3.0
310,143@4042,"[[777, 1], [565, 1]]",5.0
311,106@2505,"[[592, 1], [1210, 1], [146, 1]]",4.0
312,16@933,"[[1479, 1], [1172, 1]]",4.0
313,128@526,"[[605, 1], [605, 1]]",5.0
314,42@3608,"[[1273, 1], [289, 1], [605, 1]]",5.0
315,20@2946,"[[1986, 1]]",4.0
316,125@1243,"[[1764, 1]]",4.0
317,78@3247,"[[1931, 1], [759, 1], [736, 1], [1888, 1], [644, 1], [47, 1], [85, 1], [1880, 1], [1423, 1], [1104, 1]]",5.0
318,42@395,"[[1096, 1], [421, 1], [1567, 1], [1714, 1]]",4.0
319,13@403,"[[186, 1], [830, 1]]",4.0
320,47@2651,"[[757, 1], [1946, 1], [1978, 1]]",3.0
321,26@5162,"[[1096, 1], [1155, 1], [1301, 1], [606, 1], [1874, 1], [731, 1]]",5.0
322,101@1762,"[[195, 1], [1931, 1]]",4.0
323,40@2347,"[[1931, 1], [592, 1], [1548, 1]]",3.0
324,42@1666,"[[1874, 1], [1925, 1]]",3.0
325,75@5084,"[[1878, 1]]",4.0
326,48@3599,"[[1869, 1], [186, 1], [1900, 1]]",5.0
327,18@2747,"[[1769, 1], [810, 1]]",4.0
328,146@748,"[[551, 1], [1213, 1]]",3.0
329,76@37,"[[1372, 1], [268, 1], [1743, 1], [1850, 1], [735, 1]]",3.0
330,21@31,"[[757, 1], [1937, 1], [88, 1]]",4.0
331,147@401,"[[1654, 1], [703, 1], [1104, 1]]",5.0
332,134@2859,"[[2016, 1]]",5.0
333,127@355,"[[1931, 1], [2037, 1], [731, 1], [1530, 1]]",5.0
334,20@147,"[[1023, 1], [1567, 1], [1213, 1]]",4.0
335,37@3190,"[[1583, 1], [605, 1]]",5.0
336,126@1087,"[[777, 1]]",3.0
337,104@5235,"[[1099, 1], [508, 1], [980, 1], [777, 1], [1397, 1], [1126, 1], [1315, 1], [941, 1], [146, 1]]",4.0
338,149@4588,"[[1978, 1], [643, 1]]",5.0
339,47@1483,"[[1692, 1]]",4.0
340,29@463,"[[199, 1], [1273, 1], [644, 1]]",4.0
341,147@3699,"[[607, 1], [1213, 1]]",3.0
342,1@1618,"[[581, 1], [268, 1], [1155, 1], [1878, 1], [596, 1], [1213, 1], [1939, 1]]",4.0
343,8@1118,"[[2055, 1], [987, 1], [1104, 1]]",5.0
344,42@1267,"[[581, 1], [249, 1]]",4.0
345,48@5179,"[[15, 1], [1352, 1], [694, 1], [777, 1], [1210, 1]]",4.0
346,135@1748,"[[965, 1], [607, 1], [539, 1]]",3.0
347,87@3436,"[[810, 1], [2036, 1], [1104, 1], [1134, 1]]",5.0
348,131@1799,"[[694, 1], [1092, 1]]",5.0
349,108@5190,"[[715, 1], [1059, 1], [2001, 1], [545, 1]]",4.0
350,14@1170,"[[1615, 1]]",4.0
351,50@4171,"[[1023, 1]]",3.0
352,50@531,"[[1104, 1], [1548, 1]]",1.0
353,42@3284,"[[1874, 1]]",4.0
354,146@3205,"[[1796, 1], [1016, 1]]",5.0
355,50@5137,"[[2010, 1]]",4.0
356,106@2215,"[[1210, 1], [1475, 1], [1210, 1]]",4.0
357,92@5117,"[[941, 1], [1104, 1]]",3.0
358,69@1241,"[[1155, 1], [186, 1], [755, 1], [453, 1], [1948, 1], [1956, 1], [1648, 1], [1350, 1]]",4.0
359,40@2206,"[[896, 1]]",4.0
360,42@2532,"[[1466, 1]]",4.0
361,56@820,"[[736, 1], [289, 1]]",5.0
362,65@2491,"[[941, 1], [268, 1], [1023, 1], [1273, 1], [1341, 1], [1350, 1], [1213, 1], [1669, 1], [268, 1]]",5.0
363,114@2055,"[[1479, 1], [54, 1], [1213, 1]]",3.0
364,10@420,"[[1093, 1], [705, 1]]",3.0
365,22@1384,"[[1479, 1]]",4.0
366,76@2041,"[[1077, 1], [422, 1]]",4.0
367,10@2396,"[[1155, 1], [186, 1], [1766, 1], [1567, 1], [1479, 1], [324, 1], [1928, 1], [1213, 1], [351, 1], [186, 1], [604, 1], [731, 1]]",4.0
368,54@1757,"[[694, 1]]",4.0
369,26@656,"[[694, 1], [1210, 1], [1104, 1]]",5.0
370,99@1127,"[[622, 1]]",4.0
371,114@1027,"[[1475, 1]]",4.0
372,125@3979,"[[1313, 1]]",3.0
373,101@3766,"[[268, 1], [1155, 1], [1670, 1], [324, 1], [1472, 1], [845, 1], [1946, 1]]",4.0
374,56@3997,"[[941, 1], [377, 1], [142, 1], [2079, 1], [1678, 1], [1172, 1]]",4.0
375,139@4506,"[[777, 1], [1909, 1]]",4.0
376,47@497,"[[428, 1], [2093, 1]]",3.0
377,51@728,"[[757, 1], [289, 1]]",4.0
378,30@1096,"[[583, 1], [445, 1], [731, 1]]",4.0
379,16@2144,"[[1078, 1]]",2.0
380,86@3849,"[[703, 1], [1643, 1]]",4.0
381,86@1784,"[[329, 1], [1780, 1]]",5.0
382,114@868,"[[1104, 1]]",3.0
383,147@4649,"[[380, 1], [743, 1], [1210, 1], [992, 1], [1213, 1], [829, 1], [1783, 1], [256, 1], [1302, 1], [1521, 1]]",5.0
384,132@3191,"[[2055, 1], [1560, 1], [61, 1], [1467, 1]]",5.0
385,114@3911,"[[694, 1], [1350, 1]]",1.0
386,50@2796,"[[694, 1], [508, 1], [596, 1], [1210, 1], [694, 1], [186, 1]]",4.0
387,114@2571,"[[1674, 1], [556, 1], [498, 1], [596, 1], [1979, 1], [268, 1]]",2.0
388,49@4950,"[[1874, 1], [1273, 1], [605, 1]]",5.0
389,114@3910,"[[1873, 1], [1134, 1]]",5.0
390,102@4512,"[[596, 1], [385, 1], [385, 1]]",4.0
391,141@568,"[[1874, 1]]",4.0
392,100@194,"[[186, 1], [731, 1], [2043, 1]]",1.5
393,99@1899,"[[186, 1], [1874, 1]]",5.0
394,109@442,"[[186, 1], [761, 1], [1213, 1], [1867, 1], [965, 1], [186, 1]]",2.0
